id;jobId;campaignId;storeId;storeInstanceId;customerId;phoneNumber;scheduledAt;sendAt;status;message;response;createdAt;createdBy;updatedAt;updatedBy
1;431;9;LXK0A1;90242051;87;5541950675108;22/08/2025 21:36;22/08/2025 21:50;3;Odit voluptate culpa provident eaque neque.;;22/08/2025 20:36;novaesian;22/08/2025 21:50;da-matabarbara
2;293;81;FS26K9;02413422;100;5581931844709;29/09/2025 03:14;29/09/2025 03:53;2;Ullam iure nisi recusandae ex aspernatur.;Labore a consectetur.;29/09/2025 02:14;monteiroyasmin;29/09/2025 03:53;sousarafaela
3;362;15;BV62F5;62488544;182;5511914950463;14/10/2025 05:00;14/10/2025 06:00;3;Quo placeat alias neque unde.;Temporibus dolores esse quidem possimus aut.;14/10/2025 04:00;dcamara;14/10/2025 06:00;thomas29
4;450;53;MN55D3;47753449;96;5571903493579;03/11/2025 03:37;03/11/2025 03:47;4;Officia iure inventore provident quidem veritatis.;;03/11/2025 02:37;lavinia63;03/11/2025 03:47;gael-henrique92
5;155;39;QW77C2;11465025;29;5584937084738;10/11/2025 05:32;10/11/2025 05:50;5;Similique odio aperiam id perferendis quidem.;;10/11/2025 04:32;kgomes;10/11/2025 05:50;mmarques
6;468;5;ZP930B;89424041;114;5561919751974;12/11/2025 09:34;12/11/2025 10:28;2;Amet sit repellendus saepe cumque qui deserunt.;;12/11/2025 08:34;eda-mota;12/11/2025 10:28;ravy67
7;98;62;BV62F5;02729230;237;5561958849821;02/10/2025 08:32;02/10/2025 09:09;2;Aperiam incidunt nihil suscipit ut omnis.;;02/10/2025 07:32;kbrito;02/10/2025 09:09;diogo52
8;74;68;ZP930B;73794457;211;5571953031467;02/09/2025 06:53;02/09/2025 07:17;3;Eligendi nemo tempora nobis corrupti eaque molestiae.;;02/09/2025 05:53;ester82;02/09/2025 07:17;alexandrenogueira
9;106;67;LXK0A1;92423038;118;5584908414792;10/09/2025 12:36;10/09/2025 13:24;2;Provident provident id.;;10/09/2025 11:36;diastheo;10/09/2025 13:24;ndas-neves
10;160;67;LXK0A1;91365449;176;5571901243585;17/09/2025 10:35;17/09/2025 10:47;1;Vel atque reiciendis assumenda nam vel.;;17/09/2025 09:35;dandrade;17/09/2025 10:47;alexia94
11;456;12;LXK0A1;60012384;27;5511993957842;27/09/2025 11:16;27/09/2025 11:42;4;Accusamus dolorum a cumque ipsa.;;27/09/2025 10:16;aliceda-cunha;27/09/2025 11:42;nunesmanuela
12;12;85;FS26K9;45766339;195;5561960556360;07/09/2025 01:45;07/09/2025 02:37;3;Tempora facilis ea itaque quis earum fuga.;;07/09/2025 00:45;teixeiramaria-clara;07/09/2025 02:37;mariane03
13;99;27;AJ81E4;23968400;71;5581972412750;21/10/2025 13:37;21/10/2025 14:02;2;Nisi ratione repellat explicabo quo laudantium autem.;;21/10/2025 12:37;salesmarcela;21/10/2025 14:02;barbosajuliana
14;140;57;QW77C2;64385071;41;5581982932333;29/10/2025 07:03;29/10/2025 07:50;1;Facere nisi ad possimus et fugit.;Esse tempore qui doloribus.;29/10/2025 06:03;theocavalcante;29/10/2025 07:50;bsilva
15;264;2;ZP930B;97016121;53;5521906551036;16/10/2025 12:43;16/10/2025 13:27;5;Doloremque voluptatibus eos perspiciatis enim cum maxime.;;16/10/2025 11:43;pfonseca;16/10/2025 13:27;da-mataolivia
16;73;71;AJ81E4;49707603;147;5541979105305;11/11/2025 04:05;11/11/2025 04:30;3;Occaecati sint esse nemo officia accusantium.;Nam totam ipsum consectetur ex pariatur.;11/11/2025 03:05;silvaolivia;11/11/2025 04:30;pedro-lucasborges
17;457;10;BV62F5;18496150;139;5581985379928;29/09/2025 09:23;29/09/2025 09:47;5;Labore facere eveniet enim saepe.;;29/09/2025 08:23;correiavalentina;29/09/2025 09:47;kcarvalho
18;463;17;LXK0A1;56518548;28;5581944271511;01/10/2025 23:14;01/10/2025 23:20;4;Officiis molestias voluptatibus ullam porro.;;01/10/2025 22:14;manuela87;01/10/2025 23:20;paulolopes
19;92;12;FS26K9;92623587;229;5581961849052;06/10/2025 09:27;06/10/2025 09:59;4;Pariatur occaecati non repudiandae.;;06/10/2025 08:27;martinsisis;06/10/2025 09:59;xcavalcante
20;316;89;BV62F5;64416019;80;5541901993664;11/10/2025 04:15;11/10/2025 05:04;4;Vero non ad voluptatem.;;11/10/2025 03:15;davi-luizda-rocha;11/10/2025 05:04;da-cruzevelyn
21;415;26;ER35J8;73663301;21;5584937387309;01/11/2025 06:13;01/11/2025 07:03;6;Fuga impedit repellat maxime.;;01/11/2025 05:13;helenagarcia;01/11/2025 07:03;daniela95
22;48;60;DQ44H7;83799029;25;5531937156099;19/09/2025 00:56;19/09/2025 01:37;2;Dolores perspiciatis architecto ex.;;18/09/2025 23:56;ester65;19/09/2025 01:37;lcunha
23;393;88;DQ44H7;59099552;121;5551966458768;18/10/2025 19:40;18/10/2025 20:26;6;Atque voluptatum veritatis iste amet delectus.;Aut saepe repudiandae.;18/10/2025 18:40;fonsecavitor;18/10/2025 20:26;fernandeslaura
24;133;29;BV62F5;12806742;101;5584958171445;31/10/2025 00:45;31/10/2025 00:59;5;Quia repudiandae officia enim ratione.;Magni eveniet modi ad corrupti.;30/10/2025 23:45;yvieira;31/10/2025 00:59;sophiemacedo
