id;name;taxId;gender;dateOfBirth;status;externalCode;isEnriched;enrichedAt;enrichedBy;createdAt;createdBy;updatedAt;updatedBy;phone;email
1;Maria Sophia Mendonça;27.510.463/0001-50;F;25/08/2005;2;;False;;;08/07/2025 00:00;sabrinasampaio;;;5584965646848;portolavinia@example.com
2;Murilo Cassiano;483.165.097-84;M;24/06/1994;2;;False;;;03/07/2025 00:00;julia11;;;5584997560777;scaldeira@example.net
3;Emanuella Mendonça;14.253.986/0001-16;F;20/08/1977;1;;False;;;30/08/2025 00:00;caio35;;;5511971291808;camposnatalia@example.net
4;Yuri Teixeira;387.654.201-44;M;24/02/2004;2;;True;;;07/01/2025 00:00;mendesfelipe;;;5531999431721;mnovais@example.org
5;Bruno Pimenta;507.189.432-79;M;06/05/1981;1;;True;;;01/10/2025 00:00;da-rochaleticia;;;5531976267680;garaujo@example.org
6;Kaique Barbosa;718.523.640-17;M;22/12/1987;1;;True;;;06/07/2025 00:00;gael63;;;5584957998366;anna-liz62@example.com
7;Maria Cecília Gonçalves;59.432.168/0001-19;F;07/03/2003;1;;True;;;13/06/2025 00:00;nathan75;;;5551953295611;da-conceicaopedro-henrique@example.org
8;Dra. Aylla Carvalho;81.603.752/0001-49;F;25/06/1964;1;;True;;;10/05/2025 00:00;freitaserick;;;5521964996448;melomariane@example.org
9;Henry Gabriel Lima;789.130.426-22;M;17/01/1957;2;;False;;;19/06/2025 00:00;ana-carolinarezende;;;5511934394882;daviviana@example.com
10;Benício Nunes;921.608.375-12;M;05/05/1970;1;;True;;;26/07/2025 00:00;antonellacardoso;;;5551943344006;almeidabella@example.net
11;Isaque Machado;358.067.421-80;M;20/11/1957;1;;False;;;12/04/2025 00:00;anaazevedo;;;5511935877455;jesusluiz-fernando@example.net
12;Marcelo Machado;367.542.910-52;M;14/06/2001;1;;False;;;21/04/2025 00:00;ralmeida;;;5551968218504;da-motapedro@example.net
13;Mariah Albuquerque;90.518.274/0001-60;F;17/02/1959;2;;False;;;06/09/2025 00:00;portosarah;;;5531962675687;camposdante@example.com
14;Agatha Siqueira;81.056.924/0001-01;F;21/12/1969;2;;False;;;02/05/2025 00:00;oda-mata;;;5541984821389;ottogarcia@example.net
15;Sr. Rhavi Sousa;932.056.481-70;M;05/10/1974;2;;True;;;27/04/2025 00:00;luiz-gustavo40;;;5531984993373;rochabarbara@example.com
16;Dr. Francisco Pires;276.548.901-76;M;06/03/1992;1;;True;;;04/05/2025 00:00;maysasousa;;;5541995609687;hda-cruz@example.com
17;Lucca Macedo;463.280.197-69;M;20/07/1955;2;;True;;;07/07/2025 00:00;gvieira;;;5541932938614;eteixeira@example.com
18;Alice Araújo;50.673.418/0001-38;F;17/07/1977;2;;True;;;21/07/2025 00:00;yasmin24;;;5581965113309;marianecavalcanti@example.org
19;Dra. Anna Liz Mendonça;42.718.536/0001-97;F;23/03/1988;2;;False;;;06/02/2025 00:00;maria-luizapacheco;;;5571910835336;almeidanoah@example.net
20;Pietra Aragão;76.392.058/0001-90;F;15/12/1956;1;;False;;;16/08/2025 00:00;freitasnatalia;;;5584998012069;marianepastor@example.org
21;Dr. Francisco Melo;803.194.652-33;M;27/11/1989;1;;True;;;11/06/2025 00:00;vitormarques;;;5561909075292;hcarvalho@example.org
22;Maria Laura Fernandes;38.507.621/0001-39;F;25/09/1959;2;;True;;;22/04/2025 00:00;xleao;;;5531906269401;leaojoao-vitor@example.org
23;Catarina Melo;06.235.184/0001-55;F;29/03/1990;2;;True;;;05/01/2025 00:00;camaraotto;;;5561980988482;ana-liz22@example.net
24;Sr. Pedro Henrique Vasconcelos;820.516.749-49;M;19/09/1969;1;;True;;;09/05/2025 00:00;pedro-lucasdias;;;5511943355298;cporto@example.org
25;Theo Rocha;370.869.214-40;M;09/12/1996;2;;True;;;02/05/2025 00:00;ncassiano;;;5541956325406;ana-carolina50@example.org
26;Gabriela Peixoto;63.549.120/0001-62;F;20/09/1993;1;;False;;;14/04/2025 00:00;souzafrancisco;;;5511994150093;lalbuquerque@example.net
27;Antony Duarte;950.846.127-67;M;05/07/1993;2;;True;;;05/02/2025 00:00;eloah75;;;5531951033108;maria-isis73@example.org
28;Raul Abreu;421.065.738-71;M;05/01/1959;1;;True;;;02/07/2025 00:00;cardosoolivia;;;5571976437907;kpinto@example.org
29;Dra. Isadora Teixeira;83.760.219/0001-16;F;20/09/1963;1;;True;;;30/09/2025 00:00;rodriguesagatha;;;5521979770807;valentim94@example.net
30;Dr. João Pedro Costa;310.485.267-71;M;21/06/1966;1;;False;;;06/04/2025 00:00;aliciamoreira;;;5571966944771;ifonseca@example.net
31;Sr. Davi Casa Grande;637.508.241-26;M;01/06/1985;2;;True;;;05/10/2025 00:00;gda-cunha;;;5561914731174;ryancostela@example.com
32;Ana Clara da Luz;29.035.178/0001-50;F;13/10/1968;1;;True;;;23/04/2025 00:00;nazevedo;;;5531993456075;hcirino@example.com
33;Srta. Alice Macedo;36.510.724/0001-22;F;08/11/1966;2;;False;;;19/10/2025 00:00;fogacaluiz-felipe;;;5531960077757;ravi47@example.org
34;Dr. Léo Lopes;123.906.574-43;M;05/12/1983;1;;True;;;26/07/2025 00:00;da-pazcaroline;;;5561934149748;gabrielly61@example.net
35;Maria Fernanda Oliveira;41.293.706/0001-76;F;20/10/1987;1;;True;;;07/03/2025 00:00;portolaura;;;5581988874375;viniciusda-luz@example.com
36;Ayla Souza;91.345.726/0001-11;F;09/03/1968;2;;False;;;24/05/2025 00:00;juliana93;;;5584985646002;pfreitas@example.net
37;Ayla Macedo;01.438.926/0001-26;F;18/04/1987;2;;True;;;04/03/2025 00:00;karaujo;;;5584993710570;aurora58@example.com
38;Kamilly Borges;29.081.735/0001-79;F;04/01/1988;2;;False;;;19/02/2025 00:00;stellapimenta;;;5541908338651;montenegrovalentim@example.com
39;Josué Fogaça;895.460.132-42;M;10/05/1993;1;;False;;;01/08/2025 00:00;mathias36;;;5551933727030;riosjuan@example.com
40;Liam Borges;598.160.274-02;M;18/10/1961;1;;False;;;20/01/2025 00:00;erios;;;5511991215555;lucas-gabrielcarvalho@example.com
41;Ana Laura Montenegro;35.427.186/0001-44;F;02/12/1977;2;;True;;;25/03/2025 00:00;barrosdom;;;5581915196459;jsousa@example.net
42;Sra. Maria Clara Rodrigues;52.304.781/0001-01;F;27/11/1973;2;;False;;;06/02/2025 00:00;zviana;;;5551940364503;stella30@example.com
43;Letícia Cavalcanti;83.125.790/0001-69;F;15/07/1987;2;;False;;;08/08/2025 00:00;lpimenta;;;5561967667479;fonsecamurilo@example.com
44;Isabella Cavalcanti;76.541.398/0001-35;F;17/10/1963;1;;True;;;21/10/2025 00:00;rodriguesanthony-gabriel;;;5521958544826;aoliveira@example.net
45;Sr. João Rezende;658.147.902-02;M;23/08/1965;2;;True;;;26/08/2025 00:00;martinsmirella;;;5511920512238;maria-cecilia19@example.com
46;Pedro Miguel Moraes;367.418.295-55;M;22/02/1969;2;;True;;;28/04/2025 00:00;stephany67;;;5511920148535;yanda-rosa@example.net
47;Nicolas Barbosa;910.837.562-30;M;06/06/1991;1;;True;;;09/05/2025 00:00;amoraes;;;5521990306811;mendesmanuela@example.net
48;Letícia Andrade;82.439.057/0001-56;F;01/11/1964;1;;True;;;09/05/2025 00:00;vmendonca;;;5511907507826;santosisabela@example.net
49;Ana Julia Lima;65.704.823/0001-43;F;05/10/1976;2;;True;;;05/07/2025 00:00;vleao;;;5551941780062;isabella81@example.org
50;Maria Fernanda Rocha;75.290.431/0001-39;F;17/10/1997;2;;True;;;22/08/2025 00:00;novaisrodrigo;;;5561952485723;jramos@example.org
51;Maria Cecília Silveira;59.137.064/0001-81;F;06/06/2006;1;;False;;;29/09/2025 00:00;rebeca32;;;5551960454211;juliana16@example.net
52;Danilo Freitas;374.058.612-53;M;17/09/1979;2;;False;;;17/10/2025 00:00;sousaheloisa;;;5551902242833;claricemoraes@example.net
53;Luiz Miguel Pimenta;536.012.987-59;M;16/07/1986;1;;True;;;15/05/2025 00:00;bsilva;;;5581996054143;bcavalcanti@example.org
54;Dr. Lucas Gabriel Oliveira;043.261.978-03;M;22/11/2004;2;;True;;;26/03/2025 00:00;maria-isis47;;;5521968337499;julia64@example.org
55;Dr. João Miguel Correia;407.692.831-87;M;02/03/1994;1;;False;;;22/03/2025 00:00;mariahcostela;;;5581995487546;daniloandrade@example.com
56;Pietra Cirino;52.908.467/0001-38;F;26/08/1969;1;;True;;;10/04/2025 00:00;cunhacamila;;;5551911873957;manuela29@example.com
57;Sophia Fernandes;42.908.165/0001-06;F;16/08/1968;1;;True;;;21/08/2025 00:00;wcasa-grande;;;5551950769185;beatriznovaes@example.org
58;Bianca Siqueira;87.639.104/0001-29;F;13/09/1987;2;;True;;;22/01/2025 00:00;matheus18;;;5511955560475;aylla17@example.com
59;Heitor Monteiro;798.036.421-03;M;07/08/2004;1;;False;;;11/10/2025 00:00;diego20;;;5571949481219;vargascarlos-eduardo@example.net
60;Manuella Freitas;20.341.569/0001-28;F;06/08/1982;2;;False;;;17/08/2025 00:00;valentinada-luz;;;5511919175961;bruna93@example.org
61;Benjamin Santos;671.259.403-07;M;07/08/1980;1;;False;;;04/10/2025 00:00;alexandrepastor;;;5521936278077;cda-mata@example.org
62;Sr. Nathan da Mata;795.028.413-79;M;26/02/1990;2;;False;;;15/07/2025 00:00;gael-henriquecassiano;;;5551948825435;riosmateus@example.net
63;Dr. Cauã Costa;837.946.150-93;M;29/04/1972;2;;False;;;14/10/2025 00:00;milenacirino;;;5551939608731;sampaioana-julia@example.net
64;Marina Rezende;04.159.728/0001-11;F;29/11/1978;1;;False;;;10/05/2025 00:00;caua34;;;5551922252608;nascimentosophia@example.net
65;Bella Pastor;09.712.684/0001-29;F;02/02/1973;1;;False;;;21/04/2025 00:00;marcos-viniciusmoraes;;;5541986937412;mcasa-grande@example.org
66;Isadora Vasconcelos;74.319.625/0001-57;F;03/02/1989;2;;False;;;18/06/2025 00:00;heloisa78;;;5584930008375;isabelly78@example.com
67;Dra. Caroline da Rocha;51.394.860/0001-98;F;08/07/1994;1;;True;;;29/08/2025 00:00;brunomendes;;;5531903855414;dnascimento@example.net
68;Bruna Rezende;79.124.863/0001-20;F;08/08/2004;1;;True;;;06/01/2025 00:00;da-pazliam;;;5561935625717;portodaniela@example.org
69;Luiz Gustavo Melo;957.381.620-21;M;31/05/1992;2;;True;;;06/07/2025 00:00;azevedojoao;;;5581966271645;yanpinto@example.net
70;Enzo Gabriel Borges;749.682.051-20;M;18/04/1978;1;;True;;;23/04/2025 00:00;tporto;;;5581978751702;novaisdante@example.org
71;Mariah Brito;97.346.051/0001-01;F;16/01/1956;1;;True;;;12/09/2025 00:00;oliver88;;;5571946754372;udas-neves@example.net
72;Antonella Machado;94.106.785/0001-25;F;02/10/1961;2;;True;;;27/04/2025 00:00;correiaryan;;;5511923951577;da-pazjoao-miguel@example.org
73;Clarice Guerra;07.568.341/0001-07;F;13/05/1958;2;;False;;;25/01/2025 00:00;josecosta;;;5541991263317;emanuelly04@example.com
74;Dr. Rodrigo Campos;287.315.490-04;M;14/05/1977;1;;False;;;27/07/2025 00:00;franciscomoraes;;;5521970274998;alexandre22@example.net
75;Yan Gomes;043.276.198-50;M;01/11/1987;1;;True;;;10/09/2025 00:00;yuricampos;;;5541993746388;davi-miguelsouza@example.com
76;Gael Cirino;869.743.051-84;M;29/12/1995;1;;True;;;23/04/2025 00:00;marianemendes;;;5584979942528;ian88@example.net
77;Vitor Freitas;502.963.741-99;M;05/11/2004;1;;True;;;27/07/2025 00:00;gabrielacampos;;;5561939623668;anovaes@example.org
78;Benicio Pires;417.059.382-05;M;10/01/1989;2;;True;;;04/01/2025 00:00;matteocasa-grande;;;5551964332060;pintoester@example.org
79;Mariah da Luz;26.597.480/0001-03;F;28/11/1960;1;;False;;;07/02/2025 00:00;azevedogael-henrique;;;5531958249191;ocavalcante@example.com
80;Levi Machado;897.153.046-48;M;16/10/1981;1;;False;;;25/03/2025 00:00;emilly25;;;5561973111849;acassiano@example.net
81;Maria Liz Moreira;21.703.854/0001-04;F;26/06/1967;2;;True;;;01/01/2025 00:00;luiza04;;;5521995798000;oliviacavalcanti@example.org
82;Lucas Gabriel Dias;683.259.471-28;M;29/12/1997;2;;True;;;14/05/2025 00:00;da-luzjulia;;;5561939344203;fernandesfrancisco@example.com
83;Lucca Cavalcanti;051.268.749-85;M;21/04/2006;2;;True;;;13/07/2025 00:00;viananicole;;;5584985109655;beatriz81@example.net
84;Mariah Camargo;26.018.934/0001-44;F;14/02/1981;2;;True;;;13/09/2025 00:00;isabella05;;;5511923453127;agathamendes@example.net
85;Gabriel Machado;139.758.462-91;M;19/04/1961;2;;False;;;25/01/2025 00:00;ribeiropedro-lucas;;;5584919909184;juanda-luz@example.net
86;Pedro Lucas Andrade;284.075.361-80;M;17/06/1983;1;;True;;;01/03/2025 00:00;stellabarbosa;;;5561920960768;emelo@example.com
87;Theodoro da Luz;630.148.275-17;M;29/10/1956;2;;True;;;07/11/2025 00:00;pereirasophia;;;5511978703654;moreiraana-sophia@example.net
88;Theodoro Pinto;680.931.754-66;M;26/02/1959;1;;False;;;08/01/2025 00:00;novaesdiego;;;5584990002531;guilhermearagao@example.org
89;Luigi Macedo;694.251.087-49;M;13/02/1996;1;;True;;;21/04/2025 00:00;rebeca25;;;5581922351107;zramos@example.net
90;Srta. Ana Liz Sales;91.068.732/0001-79;F;04/10/1987;1;;True;;;29/05/2025 00:00;allana02;;;5551984223250;oguerra@example.org
91;Sofia Nascimento;69.148.502/0001-60;F;01/10/1971;2;;False;;;01/08/2025 00:00;albuquerquepietro;;;5571993808195;duarteenrico@example.com
92;Cauê Abreu;708.652.941-94;M;02/11/1974;2;;True;;;22/08/2025 00:00;usouza;;;5551972781311;ana-lauracamara@example.org
93;Maitê Barros;92.360.178/0001-61;F;30/04/1958;2;;False;;;22/03/2025 00:00;kcosta;;;5581904845534;vitor-gabriel23@example.org
94;Caleb Pacheco;925.473.016-52;M;06/04/1977;2;;True;;;21/09/2025 00:00;lunasa;;;5561936678122;barroseloa@example.net
95;Nicole Lopes;18.645.273/0001-59;F;05/11/1996;2;;True;;;20/04/2025 00:00;jose-pedromoraes;;;5561933144545;heloisa62@example.net
96;Gustavo Silveira;873.560.412-35;M;05/08/2004;2;;False;;;18/04/2025 00:00;emanuellapimenta;;;5584968447865;yasminmacedo@example.com
